PARTNUMBER,ALTERNATEPARTNUMBER,CONDITIONCD,DESCRIPTION,QUANTITY,UNITOFMEASURE,PARTCATEGORY
10932-5,,NS,COVER,1,EA,
109A100002-05,,NS,SLEEVING,81,EA,
109A10002-05,,NS,TUBING,1,EA,
10CV596199,,NS,DIODE,7,EA,NR25
10E921-17-8,,NS,BUSHING,43,EA,
11-0016,,NS,BRACKET,8,EA,
11-0027,,NS,LEVER,29,EA,
11-0039,,NS,COVER KNOB,7,EA,
11-1000,,NS,QUADRANT,8,EA,
11-1000-1A,,NS,QUADRANT,7,EA,
11-1010,,NS,HOUSING,8,EA,
11-1011,,NS,HOUSING ASSY,8,EA,
11-1012,,NS,STOP IDLE,8,EA,
11-1013,,NS,LEVER ASSY,8,EA,
11-1014,,NS,LEVER ASSY,8,EA,
11-1015,,NS,HUB,16,EA,
11-1016,,NS,PLATE,8,EA,
11-1017,,NS,PLATE FLANGE,7,EA,
11-1018,,NS,GUIDE,8,EA,
11-1019,,NS,PLATE LIFT,8,EA,
11-1020,,NS,FLANGE,8,EA,
11-1021,,NS,GUIDE,3,EA,
11-1022,,NS,LEVER ASSY,8,EA,
11-1023,,NS,LEAVER,14,EA,
11-1024,,NS,BAR,8,EA,
11-1025,,NS,STOP,8,EA,
11-1026,,NS,LEVER ASSY,13,EA,
11-1027,,NS,LEVER ASSY,8,EA,
11-1028,,NS,LEVER LH,7,EA,
11-1029,,NS,SHAFT,7,EA,
11-1032,,NS,BEARING,18,EA,
11-1033,,AR,BOLT THROTTLE LEVER,8,EA,
11-1033,,NS,BOLT,8,EA,
11-1034,,NS,WASHER,385,EA,
11-1035,,NS,SPRING CONDUIT,98,EA,
11-78253-3,,NS,BOOT DUST,2,EA,
11/10/7274,,NS,SWITCH,3,EA,
110-054K470,,NS,RESISTOR,4,EA,
110000-02,,OH,MOTOR,4,EA,
110176-4,,NS,ARM,2,EA,
11044,,NS,STANDPIPE ASSY,1,EA,
11046-1,,NS,PLATE,2,EA,
11049,,NS,VALVE ASSY,2,EA,
11063,,NS,SCREEN,3,EA,
110651-01,,NS,SCREWJACK,2,EA,
110655-01,,NS,TUBE ASSY,18,EA,
111-312-649-4S0137,,NS,HOSE,1,EA,
1110271-5,,NS,BEARING BALL,2,EA,
111116-01,,NS,FILTER ASSY,1,EA,
111384-01,,NS,BRACKET,14,EA,
111384-1,,NS,BRACKET,9,EA,
111415-01,,NS,COVER,12,EA,
11158,,NS,PLATE,10,EA,
1116-577715,,NS,VALVE,1,EA,
111631,,OH,ACTUATOR,6,EA,
111631-02,,OH,ACTUATOR,4,EA,
111631-03,,OH,ACTUATOR,4,EA,
111631-07,,OH,ACTUATOR,6,EA,
1116923,,NS,WASHER,2,EA,
111884,,NS,VALVE,1,EA,
112-598635,,NS,VALVE,1,EA,
11438,,AR,IMPELLER,4,EA,
114C5101-10,,NS,BRAKE,1,EA,
115767-03,,NS,HOLDER,1,EA,
116514-70,,NS,JET,1,EA,
117-64172-03,,NS,FUEL CELL,1,EA,
11901-3,,OH,FUEL PROPORTIONER,5,EA,
11901-4,,NS,PROP PUMP,1,EA,
11901-5,,OH,BOOST PUMP,2,EA,
11904-3,,AR,MOTOR ASSY,1,EA,
11906-2,,NS,VAIN,303,EA,
11910-2,,NS,CASEING,26,EA,
11911-2,,NS,CASEING,12,EA,
11917-2,,NS,COUPLING,4,EA,
11918-1,,NS,PIN,10,EA,
11919-2,,NS,PLATE MOTOR,1,EA,
119646,,NS,FITTING,5,EA,
11D21300,,NS,ANTENNA,2,EA,
12-0012,,NS,NOB,110,EA,
12-0029,,NS,NOB,20,EA,
12-1000-1,,NS,LANDING GEAR CONTROL,2,EA,
12-1023,,NS,BRACKET & SOLENOID,1,EA,
120-006C60-45,,NS,SHIM,4,EA,NR25
120-015-5A,,NS,SLEEVE,10,EA,
12050-0012,,NS,TRANSISTER,10,EA,
121672-01-15,,NS,GYRO DISPLAY,1,EA,
122388-02,,NS,SPACER,24,EA,
122422-01,,NS,CAM CONTROL,51,EA,
122429-01,,NS,CAM CONTROL,30,EA,
122640-2-1,,NS,COUPLING,6,EA,
125058,,NS,SPRING,3,EA,
126000-0001,,AR,FUEL GAUGE,2,EA,
12619-1,,NS,CLAMP,196,EA,
12619-6,,NS,CLAMP,4,EA,
128308,,NS,LOAD METER,2,EA,
128B809G1,,NS,SHAFT,1,EA,
12A00029P01,,NS,HOSE ASSY,1,EA,
12A00047P02,,NS,HOSE ASSY,4,EA,
12A00237G01,,NS,ROD ASSY,5,EA,
13-1000-1,,NS,LANDING GEAR CONTROL,1,EA,
130-006-13,,NS,DECAL,2,EA,
130-006-15,,NS,DECAL,1,EA,
130-006-22,,NS,DECAL,1,EA,
130-006-30,,NS,DECAL,1,EA,
130-100-0520,,NS,RETRICTOR,1,EA,
130145,,NS,PIN,165,EA,
130755-1,,NS,VALVE SOLENOD,2,EA,
1309A121A,,NS,COUPLING HALF,1,EA,
13188-1,,NS,COIL ASSY,1,EA,
13204,,NS,SPRING,10,EA,
1325794-3,,NS,BUSHING,4,EA,
1336-8,,NS,VALVE,1,EA,
133621,,NS,SELECTOR SET,8,EA,
133649,,NS,CLEVIS,27,EA,
133675,,NS,KIT,45,EA,
133677,,NS,KIT,45,EA,
1359-579519,,NS,VALVE,1,EA,
1369-12,,NS,CUPLING,1,EA,
137-100,,NS,SIGNAL-GEAR WARNING,2,EA,
1371-589680,,NS,FOUR WAY VALVE,2,EA,
1374-559317M1,,NS,VALVE,6,EA,
1374-559317M1,,OH,VALVE,2,EA,
1374-559318,,NS,VALVE ASSY,1,EA,
1374-559318M,,NS,VALVE,1,EA,
1374-579137,,NS,VALVE,5,EA,
1375-559035,,NS,VALVE,2,EA,
137W101,,NS,VALVE SEQUENCE,1,EA,
13889,,NS,BEARING,9,EA,
138935,,NS,VALVE,2,EA,
13901,,NS,SEAT,5,EA,
141-200053-003,,NS,PANEL,1,EA,
1411A-HM1,,NS,HEAT SINK,1,EA,
14154,,NS,KIT,5,EA,
14289-1,,NS,L/H JAM NUT,3,EA,
144582,,NS,ASSY,2,EA,
145131-1,,NS,NOB,1,EA,
1459-537615,,NS,NAMEPLATE,21,EA,
146A,,NS,SPRING,10,EA,
1474-539512,,NS,VALVE,1,EA,
1474-55918,,NS,RETAINER,2,EA,
1474-55942,,NS,POPPET,2,EA,
1474-559498,,NS,PLUNGER,6,EA,
1474-559499,,NS,PIN,18,EA,
1474-559501,,NS,STOP,12,EA,
1474-559511,,NS,CAP,3,EA,
1474-559514,,NS,BODY,6,EA,
1474-559516,,NS,BODY,2,EA,
1474-559518,,NS,RETAINER,2,EA,
1474-559526,,NS,STOP,12,EA,
1474-559528,,NS,PIN,3,EA,
1474-559531,,NS,SOLENOID,4,EA,
1474-559538,,NS,PLUNGER,5,EA,
1474-559539,,NS,POPPET & SLEEVE,1,EA,
1474-559541,,NS,SLEEVE,2,EA,
1474-559543,,NS,SEAT,3,EA,
1474-559544,,NS,SPACER,6,EA,
1474-559546,,NS,BRACKRT,6,EA,
1474-559549,,NS,POPPET,6,EA,
1474-559745,,NS,PIN,2,EA,
1474-579986,,NS,KIT,153,EA,
1474-589632,,NS,RETAINER,6,EA,
1475-559138,,NS,WASHER,22,EA,
148-50725-00080,,NS,HOSE,1,EA,
14800-8B,,NS,REGULATOR,7,EA,
149255,,NS,COMPENSATOR PRESSURE,1,EA,
14XBC,,NS,BLADES,68,EA,
1501027,,NS,CAM,11,EA,
1501074,,NS,FITTING,10,EA,
1501075,,NS,NUT,16,EA,
1501153,,NS,SCREW,1,EA,
1501348,,NS,LEVER ASSY,4,EA,
1501488,,AR,PROTRACTOR,1,EA,
1501506,,NS,PISTON,1,EA,
1501949,,NS,SPRING,26,EA,
1501986,,NS,VALVE,1,EA,
1501987,,NS,VALVE AND SLEEVE,1,EA,
1501994,,AR,THROTTLE LEVER,1,EA,
1501994,,NS,LEVER,4,EA,
1502000,,NS,SET SCREW,1,EA,
1502040,,NS,COVER,1,EA,
1502041,,NS,SPRING,3,EA,
1502061,,NS,BELLOWS,12,EA,
1502062,,NS,NUT,9,EA,
1502063,,NS,SPRING,1,EA,
1502074,,NS,SCREW,8,EA,
1502095S,,NS,BODY F/C,1,EA,
1502165,,NS,LABEL,1,EA,
150357,,NS,FITTING,6,EA,
150366,,NS,BRACKET,8,EA,
15204-501,,NS,FILTER,1,EA,
1541,,NS,SIGNAL-GEAR WARNING,2,EA,
15462,,NS,BLOCK,1,EA,
155-493-1701,,NS,O RING,4,EA,NR25
156001-12D0080,,NS,HOSE,1,EA,
1560K0141241A,,NE,KIT ASSY,33,EA,
1560KO141241ASE,,NE,KIT A,25,EA,
1560KO141241BSE,,NS,KIT B,27,EA,
1560KO141241CSE,,NS,KIT C,23,EA,
1560KO141241DSE,,NS,KIT D,26,EA,
1560KO141241ESE,,NS,KIT E,21,EA,
15880-3,,NS,WICK OIL,1050,EA,
1589-1F,,NS,REGULATOR VOLTAGE,2,EA,
16-100-020,,NS,VALVE,1,EA,
160106-1,,NS,KIT,1,EA,
1620-00-340-0275,,NS,PLATE LOCK,40,EA,
164348,,NS,ANMETER,1,EA,
1650-00-394-2467,,NS,COUPLING,86,EA,
165865,,NS,FITTING,25,EA,
1660-00-109-5893,,NS,BUSHING,71,EA,
1.66001E+12,,NS,REFRIGERATION ASSY,7,EA,
167251-8,,NS,STRUT ASSY,9,EA,
167251-9,,NS,MLG L/H,8,EA,
167354,,NS,OUTER CYLINDER,4,EA,
167361,,NS,TRUNNION PIN,8,EA,
167379,,NS,DIAPHRAGM,3,EA,
167380,,NS,POSITIONER,32,EA,
167394,,NS,TUBE,20,EA,
167416,,NS,BUSHING SLEEVES,4,EA,
167417,,NS,SPACER,2,EA,
167419,,NS,LINK,2,EA,
167450,,AR,CYLINDER,4,EA,
167479,,NS,BEARING,1,EA,
167499,,NS,PLATE LOCK,42,EA,
167503,,NS,BUSHING,1,EA,
167504,,NS,BUSHING SLEEVE,2,EA,
167506,,NS,BRACKET,2,EA,
167507,,NS,BUSHING SLEEVE,2,EA,
167509,,NS,BRACE LWR,3,EA,
167510,,NS,BUSHING SLEEVE,1,EA,
167511,,NS,PLATE,1,EA,
167512,,NS,SHIM,1,EA,
167516,,NS,BUSHING STOP,1,EA,
1676-1,,NS,SLEEVE BUNGEE,2,EA,
168867,,NS,KEY,82,EA,
169159,,NS,BUSHING,1,EA,
169198,,NS,SPRING,81,EA,
169218,,NS,BUSHING,20,EA,
169228,,NS,ARM,61,EA,
169229,,NS,ARM,64,EA,
169231,,NS,PIN,2,EA,
169607,,NS,PIN,3,EA,
169630-22,,NS,MLG,1,EA,
169630-22,,OH,MLG,6,EA,
169630-3,,NS,NOSE LANDING GEAR,3,EA,
169630-5,,NS,NLG,1,EA,
16970-109,,NS,LEAD TEST,1,EA,
169943,,NS,INSERT,9,EA,
169958,,OH,PISTON LH,10,EA,
169966,,NS,SLEEVE,10,EA,
16XCR,,NS,BLADES,2,EA,
17-100-0180,,NS,RESTRICTOR,1,EA,
17-100-040,,NS,RESTRICTOR,1,EA,
17-100-062,,NS,RESTRICTOR,1,EA,
170296,,NS,ARM TORQUE,1,EA,
170529,,NS,U-CUP,1,EA,
170556,,NS,LINK UP,4,EA,
171267,,NS,TUBE ASSY,1,EA,
171597,,NS,BEARING,20,EA,
17230,,NS,VALVE FOUR WAY,1,EA,
1724308/4-259,,NS,CONNECTOR,41,EA,
172433-001,,NS,SWITCH,1,EA,
172548B,,NS,KIT,25,EA,
172548D,,NS,KIT,25,EA,
173896,,NS,ARM TORQUE,1,EA,
173B6,,NS,SLIDE,7,EA,
173C4,,NS,SLEEVE,12,EA,
17520615-4M9,,NS,PIN,21,EA,
175R122P5,,NS,SUPPORT,1,EA,
175R122P9,,NS,SUPPORT,4,EA,
17671,,NS,VALVE,1,EA,
177-297,,NE,RING SETTING,28,EA,
177-301,,NE,RING SETTING,25,EA,
177-303,,NE,RING SETTING,26,EA,
17978,,NS,BOLTS,15,EA,
18-100-021,,NS,RESTRICTOR,1,EA,
181-175,,NS,BEARING,1,EA,
181-17A,,NS,PIN,1,EA,
18200,,NS,CONE & ROLLER,19,EA,
18246,,NS,O RING,43,EA,
1856,,NS,COURSE INDICATOR,1,EA,
187-01722-0000,,NS,GASKRT,1,EA,
18780,,NS,CONE BEARING,2,EA,
18790,,NS,CONE BEARING,7,EA,
18850,,NS,HOSE ASSY,20,EA,
19-100-021,,NS,RESTRICTOR,1,EA,
19-100-038,,NS,RESTRICTOR,4,EA,
19-8109,,NS,SWITCH,5,EA,
190772-2,,OH,VALVE,1,EA,
1913T29G01,,NS,KIT,8,EA,
1913T38G01,,NS,KIT,39,EA,
192588-1-1,,NS,EXTRACTOR WATER,7,EA,
19295,,NE,FILTER,3,EA,NR25
19295,,NS,FILTER,3,EA,
193559,,NS,WASHER,2,EA,
19486,,NS,PACKING,1,EA,
19546,,NS,PACKING,1,EA,
1AKC21720AFC003,,NS,GUAGE,18,EA,
1G159,,NS,SWITCH,1,EA,
1N4007,,NS,DIODE,7,EA,
1SE2-6,,NS,MICRO SWITCH,4,EA,NR25
1SSL10009,,NS,SPRING,102,EA,
1TL1-3D,,NS,SWITCH,1,EA,
2-214-5455-7,,NS,O-RING,5,EA,
20-032-1,,NS,BRACKET,2,EA,
20-057-10-27,,NS,BOLTS,4,EA,
20-057-4-20,,NS,BOLT,7,EA,
2001T51P01,,NS,BRACKET,5,EA,
200241,,NS,CAP END,1,EA,
200241-1,,NS,CAP-END,1,EA,
200242,,NS,FITTING,2,EA,
200243,,NS,SLEEVE,1,EA,
200245,,NS,RETAINER,2,EA,
2002T53P01,,NS,RING,2,EA,
2003T66912,,NS,NUT,95,EA,
2003T66P13,,NS,NUT,80,EA,
2006T86P01,,NS,SEAT,1,EA,
201563,,NS,SLINGER,112,EA,
201564-1,,NS,SHIM,13,EA,
201579,,NS,OUTLET ASSY,1,EA,
201613,,NS,GASKET,10,EA,
201705,,NS,SUPPORT ASSY,29,EA,
202092,,NS,TORUS,19,EA,
202093,,NS,SHAFT ASSY,12,EA,
202093-3,,NS,SHAFT,61,EA,
202094-2,,NS,EXTRUDER,20,EA,
202095,,NS,WHEEL ASSY,55,EA,
202096,,NS,OUTLET ASSY,19,EA,
202097,,NS,WHEEL,30,EA,
202097-2,,NS,WHEEL ASSY,26,EA,
202097-5,,NE,WHEEL ASSY,18,EA,
202097-5,,NS,WHEEL,22,EA,
202098,,NS,SHROUD ASSY,14,EA,
202099,,NS,SEAL,13,EA,
202115,,NS,FAN TURBINE,28,EA,
202163-5,,NS,INLET ASSY,7,EA,
202164,,NS,HOUSING,14,EA,
202259,,NS,SLEEVE,32,EA,
202358-1,,NS,BEARING SLEEVE,41,EA,
202468,,NS,CARRIER ASSY,24,EA,
202520,,NS,COOLING TURBINE,12,EA,
202520,,OH,COOLING TURBINE,5,EA,
202520-0,,NS,COOLING TURBINE,7,EA,
202520-0,,OH,COOLING TURBINE,6,EA,
202520-0-2,,NS,COOLING TURBINE,8,EA,
203355,,NS,SEAT VALVE,25,EA,
204-001-603-1,,NS,LEVER ASSY,1,EA,
204-010-413-29,,NS,BUSHING,1,EA,
204-010-773-3,,NS,CROSS HEAD ASSY,1,EA,
204-011-131-5,,NS,SEAL,2,EA,
204-011-149-001,,NS,CLAMP,8,EA,
204-011-151-5,,NS,PLUG,1,EA,
204-011-308-1,,NS,PLATE,1,EA,
204-011-421-1,,NS,HOUSING ASSY,3,EA,
204-011-463-1,,NS,BOLT,2,EA,
204-011-711-1,,NS,CROSS HEAD ASSY,1,EA,
204-030-853-113,,NS,SEAL,4,EA,
204-030-853-85,,NS,RUBBER STRIP,2,EA,
204-032-743-11,,NS,COVER,4,EA,
204-040-231-1,,NS,CLIP,4,EA,
204-060-485-1,,NS,GASKET,1,EA,
204-060-729-1,,NS,FITTING,1,EA,
204345-1-1,,OH,COOLING TURBINE,1,EA,
2043D76,,NS,STUD,5,EA,
204SZZ-111244,,NS,BEARING,22,EA,
205-030-821-001,,NS,FITTING,3,EA,
205-031-434-3,,NS,SUPPORT,1,EA,
205-031-502-1,,NS,PLATE,1,EA,
205-032-806-071,,NS,FITTING,3,EA,
205-040-140-1,,NS,GASKET,4,EA,
205-3RRC-111321,,NS,BEARING,15,EA,
209-060-423-1,,NS,TUBE ASSY,5,EA,
209-070-560-1,,NS,BRACKET,1,EA,
209-070-561-1,,NS,CAP ASST,1,EA,
209-070-562-1,,NS,SEAL,1,EA,
209-070-566-3,,NS,DECAL,1,EA,
209-070-574-1,,NS,BRACKET,1,EA,
209-070-577-1-2,,NS,BRACKET,1,EA,
209-070-678-1,,NS,DECAL,1,EA,
209-076-371-1,,NS,TUBE ASSY,5,EA,
209-076-3951-1,,NS,TUBE ASSY,1,EA,
209-076-399-1,,NS,BRACKET,1,EA,
209-704-044-1,,NS,KIT,69,EA,
209-704-44-1,,NS,WASHERS,7,EA,
209-961-020-11,,NS,COVER,1,EA,
209-961-020-13,,NS,COVER,1,EA,
209-961-020-15,,NS,COVER,1,EA,
209-961-020-19,,NS,BRACKET,1,EA,
209-961-020-21,,NS,COVER,1,EA,
209-961-020-23,,NS,COVER,1,EA,
209-961-027-19-4,,NS,BRACKET,4,EA,
209-961-027-23,,NS,COVER,1,EA,
20907-2,,NS,VALVE,2,EA,
2090701841,,NS,FITTING,1,EA,
21-006-75-16,,NS,BUSHING,10,EA,
210A694,,NS,SNAP RING,10,EA,
211-22,,NS,BLOCK,1,EA,
211-250B,,NE,OXYGEN VALVE,1,EA,
211-501-9115,,NS,CLAMP,1,EA,
211-501-9140,,NS,CLAMP,1,EA,
211-548-9003,,NS,CLAMP,1,EA,
211A799,,NS,RING,24,EA,
212-010-103-7,,NS,STRAP FITTING,1,EA,
212-040-232-001,,NS,VALVE,1,EA,
212-076-108-1,,NS,FITTING,1,EA,
212-076-109-1,,NS,FITTING,1,EA,
214A99M,,NS,WHEEL,2,EA,
214HS5-94,,NS,SPACER,103,EA,
215656,,NS,PIN,1,EA,
215667,,NS,PISTON,6,EA,
215690-3,,NS,ROD ENDS,7,EA,
218002,,NS,PLUG,14,EA,
2187395,,NS,RING,3,EA,
2187396,,NS,RING,3,EA,
2187399,,NS,RING,5,EA,
2189424,,NS,AIR SEAL,3,EA,
21C917P001,,NS,FLOW METER,1,EA,
21D700-3,,NS,RING,56,EA,
22-007-19-17-18,,NS,BUSHING,10,EA,
22-007-19-17-19,,NS,BUSHING,10,EA,
22-012B31-26-23,,NS,BUSHING,10,EA,
22-NAS-02,,NS,NUTPLATE,925,EA,
2201P,,NS,BEARING,7,EA,
221A51,,NS,WHEEL ASSY,12,EA,
22298-0680,1N1371,NS,SEMI-CONDUCTOR,1,EA,NR25
22298-0680,,NS,SEMI CONDUCTOR,1,EA,
22300265,,NS,WHEEL,50,EA,
227-28-2,,NS,CONTROL ASSY,10,EA,
227-28-3,,NS,CONTROL ASSY,10,EA,
22FH624,,NS,NUT,9,EA,
22NA5-02,,NS,NUTPLATE,199,EA,
23014-1039,,NS,INSULATION PLATE,87,EA,
23014-104,,NS,HOLDER ASSY,27,EA,
23014-1055,,NS,SHAFT,24,EA,
23014-1059,,NS,PLATE,20,EA,
23014-1060,,NS,CUP,23,EA,
23014-1065,,NS,LINE ASSY,21,EA,
23031-004,,AR,STARTER GENERATOR,24,EA,
23031-004,,OH,STARTER GENERATOR,1,EA,
23031-1005,,NS,BLOCK,23,EA,
23031-1027,,NS,RING,3,EA,
23031-1030,,NS,ARMATURE,3,EA,
23031-1036,,NS,RETAINER,22,EA,
23031-1042,,NS,BRUSH,555,EA,
23031-1049,,NS,COVER,15,EA,
23050-1279,,NS,WASHER,7,EA,
23166,,NS,ROLL PIN,136,EA,
232-686-36B,,NS,HOSE OXG,1,EA,
23344,,NS,BRACKET,1,EA,
23364,,NS,BOLT,3,EA,
2341W31P001,,NS,CLAMP,360,EA,
23445-1,,NS,CLEVIS,1,EA,
23445-2,,NS,CLEVIS,7,EA,
23665-6,,NS,SOLENOID CONTROL,1,EA,
2371143,,NS,BLOW DOWN BOTTLE,20,EA,
23728-1-74,,NS,SCREW,31,EA,
238629,,NS,VALVE,44,EA,
239625,,NS,VALVE,1,EA,
24128,,NS,BEARING,9,EA,
242-001-9003,,NS,COTTON,142,EA,
2.4451E+11,,NS,GEROTOR,68,EA,
2.4451E+11,,NS,GEROTOR,102,EA,
2.4451E+11,,NS,GEROTOR,107,EA,
24574,,NS,CONNECTOR,15,EA,
24583,,NS,RING,1,EA,
2471015-2,,NS,EXHAUST COVER,2,EA,
2471015-5,,NS,EXHAUST COVER,2,EA,
2482654,,NS,SPRING,11,EA,
2482773,,NS,SPRING,2,EA,
2482919,,NS,PLUG,1,EA,
2482971,,NS,SHIM,12,EA,
2482971-1,,NS,SHIM,2,EA,
2482971-2,,NS,SHIM,1,EA,
2482971-3,,NS,SHIM,13,EA,
2482990-2,,NS,SHIM,10,EA,
2483214,,NS,SHIM,35,EA,
2483214-2,,NS,SHIM,36,EA,
2483596-2,,NS,SHIM,34,EA,
2483799-2,,NS,SHIM,12,EA,
24845,,NS,SHAFT,1,EA,
2487429,,NS,SEAL,8,EA,
25154,,NS,CAP,10,EA,
2520501,,NS,BEARING,2,EA,
2521745,,NS,PIN,2,EA,
2523107,,NS,NUT,1,EA,
2523333,,NS,NUT,1,EA,
2537678,,NS,FITTING,1,EA,
2537845,,NS,NUT,1,EA,
